_UNK_,_UNK_
eye,NN
remained,VBD
absolutely,RB
irresponsive,JJ
Nay,NNP
throw,VB
scent,NN
neighbor,NN
preoccupation,NN
Flushing,VBG
painfully,RB
sniff,NN
chuckled,VBD
disapproval,NN
excellent,JJ
ought,MD
speak,VB
veranda,NN
half-past,JJ
presently,RB
spoke,VBD
grumble,JJ
Ten,CD
discontented,VBN
rang,VBD
handbell,NN
'Where,EX
'Pardon,CD
ma'mselle,NN
upstairs,VBP
'What,IN
nuisance,NN
'But,IN
order,NN
Stay,NNP
indoors,NNS
write,VB
disappeared,VBD
wondering,VBG
weariness,NN
smoking,NN
dreary,JJ
lit,VBP
cigar,NN
copy,NN
Times,NNP
Thus,RB
spent,VBD
tedious,JJ
ever,RB
dived,VBD
'Why,NNS
Charmingly,NNP
unreasonable,JJ
'Directly,RB
wood,NN
Take,VB
thrown,VBN
SPY,NNP
[,NNP
],VB
caught,VBD
rushed,VBN
hall,NN
cannoned,VBD
standing,VBG
hasty,JJ
apology,NN
dashed,VBD
Beyond,IN
hate,VBP
mock,JJ
modesty,NN
longed,VBD
show,VB
truly,NN
returned,VBD
rejoiced,VBD
preliminaries,NNS
understood,VBP
kiss,NN
seal,NN
suitable,JJ
trees,NNS
calling,VBG
monsieur,NN
fifty,JJ
waiters,NNS
speed,NN
joy,NN
figure,NN
seated,VBN
mound,NN
grass,NN
charming,JJ
chilly,RB
completely,RB
enveloped,VBD
determined,VBD
shilly-shally,RB
plumped,VBD
knees,NNS
dodged,VBN
'At,''
passionate,NN
tones,NNS
Jupiter,NNP
consumedly,RB
amazed,VBN
gasped,VBD
melodiously,RB
nice,JJ
concerning,VBG
follows,VBZ
since,IN
entertained,VBD
doubts,NNS
behaved,VBD
respects,NNS
discreetly,RB
difficult,JJ
admit,VBP
wisest,JJS
tail,NN
owed,VBD
explanation,NN
Finally,RB
winking,VBG
interested,JJ
decided,VBD
beg,VB
thousand,CD
pardons,NNS
'but,''
'Oh,CD
